window_start,site,Ions,Concentration
1990-08-03,BQ1,ca_mgl,5.841111111111111
1990-08-03,BQ1,nh4n_mgl,NA
1990-08-03,BQ1,no3n_mgl,80.83333333333334
1990-10-05,BQ1,k_mgl,1.007
1990-10-05,BQ1,mg_mgl,2.832
1990-10-05,BQ1,ca_mgl,4.603
1990-10-05,BQ1,nh4n_mgl,NA
1990-10-05,BQ1,no3n_mgl,108.5
1990-12-07,BQ1,k_mgl,0.983
1990-12-07,BQ1,mg_mgl,2.988
1990-12-07,BQ1,ca_mgl,5.297
1990-12-07,BQ1,nh4n_mgl,NA
1990-12-07,BQ1,no3n_mgl,155.375
1991-02-08,BQ1,k_mgl,0.8122222222222223
1991-02-08,BQ1,mg_mgl,3.16
1991-02-08,BQ1,ca_mgl,5.701111111111111
1991-02-08,BQ1,nh4n_mgl,NA
1991-02-08,BQ1,no3n_mgl,70.66666666666667
1991-04-12,BQ1,k_mgl,0.923
1991-04-12,BQ1,mg_mgl,2.9539999999999997
1991-04-12,BQ1,ca_mgl,5.176
1991-04-12,BQ1,nh4n_mgl,NA
1991-04-12,BQ1,no3n_mgl,43.77777777777778
1991-06-14,BQ1,k_mgl,0.7644444444444445
1991-06-14,BQ1,mg_mgl,3.3777777777777778
1991-06-14,BQ1,ca_mgl,5.622222222222223
1991-06-14,BQ1,nh4n_mgl,NA
1991-06-14,BQ1,no3n_mgl,32.42857142857143
1991-08-16,BQ1,k_mgl,1.165
1991-08-16,BQ1,mg_mgl,3.614
1991-08-16,BQ1,ca_mgl,5.84
1991-08-16,BQ1,nh4n_mgl,NA
1991-08-16,BQ1,no3n_mgl,63.5
1991-10-18,BQ1,k_mgl,1.1483333333333334
1991-10-18,BQ1,mg_mgl,2.685833333333333
1991-10-18,BQ1,ca_mgl,4.1425
1991-10-18,BQ1,nh4n_mgl,NA
1991-10-18,BQ1,no3n_mgl,118.16666666666666
1991-12-20,BQ1,k_mgl,1.221
1991-12-20,BQ1,mg_mgl,3.004
1991-12-20,BQ1,ca_mgl,5.06
1991-12-20,BQ1,nh4n_mgl,NA
1991-12-20,BQ1,no3n_mgl,184.55555555555554
1992-02-21,BQ1,k_mgl,1.1111111111111112
1992-02-21,BQ1,mg_mgl,3.578888888888889
1992-02-21,BQ1,ca_mgl,6.308888888888889
1992-02-21,BQ1,nh4n_mgl,NA
1992-02-21,BQ1,no3n_mgl,79.75
1992-04-24,BQ1,k_mgl,1.031111111111111
1992-04-24,BQ1,mg_mgl,2.59
1992-04-24,BQ1,ca_mgl,4.303333333333334
1992-04-24,BQ1,nh4n_mgl,NA
1992-04-24,BQ1,no3n_mgl,57.125
1992-06-26,BQ1,k_mgl,1.1466666666666667
1992-06-26,BQ1,mg_mgl,3.2455555555555557
1992-06-26,BQ1,ca_mgl,5.6066666666666665
1992-06-26,BQ1,nh4n_mgl,NA
1992-06-26,BQ1,no3n_mgl,140.625
1992-08-28,BQ1,k_mgl,1.0655555555555556
1992-08-28,BQ1,mg_mgl,3.517777777777778
1992-08-28,BQ1,ca_mgl,6.2
1992-08-28,BQ1,nh4n_mgl,NA
1992-08-28,BQ1,no3n_mgl,67.71428571428571
1992-10-30,BQ1,k_mgl,0.9622222222222222
1992-10-30,BQ1,mg_mgl,2.4955555555555557
1992-10-30,BQ1,ca_mgl,4.543333333333333
1992-10-30,BQ1,nh4n_mgl,NA
1992-10-30,BQ1,no3n_mgl,33
1993-01-01,BQ1,k_mgl,1.1344444444444444
1993-01-01,BQ1,mg_mgl,3.181111111111111
1993-01-01,BQ1,ca_mgl,4.975555555555555
1993-01-01,BQ1,nh4n_mgl,NA
1993-01-01,BQ1,no3n_mgl,20
1993-03-05,BQ1,k_mgl,1.1744444444444444
1993-03-05,BQ1,mg_mgl,3.671111111111111
1993-03-05,BQ1,ca_mgl,5.795555555555556
1993-03-05,BQ1,nh4n_mgl,NA
1993-03-05,BQ1,no3n_mgl,137.11111111111111
1993-05-07,BQ1,k_mgl,1.1577777777777778
1993-05-07,BQ1,mg_mgl,3.2222222222222223
1993-05-07,BQ1,ca_mgl,5.611111111111111
1993-05-07,BQ1,nh4n_mgl,NA
1993-05-07,BQ1,no3n_mgl,28.333333333333332
1993-07-09,BQ1,k_mgl,1.0033333333333334
1993-07-09,BQ1,mg_mgl,3.013333333333333
1993-07-09,BQ1,ca_mgl,5.467777777777778
1993-07-09,BQ1,nh4n_mgl,NA
1993-07-09,BQ1,no3n_mgl,44.6
1993-09-10,BQ1,k_mgl,1.1211111111111112
1993-09-10,BQ1,mg_mgl,3.3266666666666667
1993-09-10,BQ1,ca_mgl,5.921111111111111
1993-09-10,BQ1,nh4n_mgl,NA
1993-09-10,BQ1,no3n_mgl,28.333333333333332
1993-11-12,BQ1,k_mgl,1.18
1993-11-12,BQ1,mg_mgl,3.1688888888888886
1993-11-12,BQ1,ca_mgl,5.688888888888889
1993-11-12,BQ1,nh4n_mgl,NA
1993-11-12,BQ1,no3n_mgl,22.166666666666668
1994-01-14,BQ1,k_mgl,1.0055555555555555
1994-01-14,BQ1,mg_mgl,2.951111111111111
1994-01-14,BQ1,ca_mgl,5.302222222222222
1994-01-14,BQ1,nh4n_mgl,NA
1994-01-14,BQ1,no3n_mgl,13.5
1994-03-18,BQ1,k_mgl,1.051111111111111
1994-03-18,BQ1,mg_mgl,3.347777777777778
1994-03-18,BQ1,ca_mgl,6.14
1994-03-18,BQ1,nh4n_mgl,NA
1994-03-18,BQ1,no3n_mgl,65.66666666666667
1994-05-20,BQ1,k_mgl,1.21
1994-05-20,BQ1,mg_mgl,3.85
1994-05-20,BQ1,ca_mgl,6.785
1994-05-20,BQ1,nh4n_mgl,NA
1994-05-20,BQ1,no3n_mgl,51.22222222222222
1994-07-22,BQ1,k_mgl,1.2377777777777779
1994-07-22,BQ1,mg_mgl,3.398888888888889
1994-07-22,BQ1,ca_mgl,6.015555555555555
1994-07-22,BQ1,nh4n_mgl,NA
1994-07-22,BQ1,no3n_mgl,NA
1994-09-23,BQ1,k_mgl,1.12
1994-09-23,BQ1,mg_mgl,3.183333333333333
1994-09-23,BQ1,ca_mgl,5.921111111111111
1994-09-23,BQ1,nh4n_mgl,NA
1994-09-23,BQ1,no3n_mgl,NA
1994-11-25,BQ1,k_mgl,1.008
1994-11-25,BQ1,mg_mgl,3.036
1994-11-25,BQ1,ca_mgl,5.688
1994-11-25,BQ1,nh4n_mgl,NA
1994-11-25,BQ1,no3n_mgl,109
1988-01-01,BQ2,k_mgl,0.8672222222222222
1988-01-01,BQ2,mg_mgl,2.11
1988-01-01,BQ2,ca_mgl,4.415555555555556
1988-01-01,BQ2,nh4n_mgl,18.5
1988-01-01,BQ2,no3n_mgl,239.1875
1988-03-04,BQ2,k_mgl,0.7833333333333333
1988-03-04,BQ2,mg_mgl,2.316666666666667
1988-03-04,BQ2,ca_mgl,4.243333333333333
1988-03-04,BQ2,nh4n_mgl,27.142857142857142
1988-03-04,BQ2,no3n_mgl,192.33333333333334
1988-05-06,BQ2,k_mgl,0.7969999999999999
1988-05-06,BQ2,mg_mgl,2.1189999999999998
1988-05-06,BQ2,ca_mgl,3.587
1988-05-06,BQ2,nh4n_mgl,74.42857142857143
1988-05-06,BQ2,no3n_mgl,239.33333333333334
1988-07-08,BQ2,k_mgl,0.7846666666666666
1988-07-08,BQ2,mg_mgl,2.0286666666666666
1988-07-08,BQ2,ca_mgl,3.446
1988-07-08,BQ2,nh4n_mgl,14
1988-07-08,BQ2,no3n_mgl,178.33333333333334
1988-09-09,BQ2,k_mgl,0.77
1988-09-09,BQ2,mg_mgl,2.37
1988-09-09,BQ2,ca_mgl,4.55
1988-09-09,BQ2,nh4n_mgl,47
1988-09-09,BQ2,no3n_mgl,205
1988-11-11,BQ2,k_mgl,0.8722222222222222
1988-11-11,BQ2,mg_mgl,2.3633333333333333
1988-11-11,BQ2,ca_mgl,4.161111111111111
1988-11-11,BQ2,nh4n_mgl,NA
1988-11-11,BQ2,no3n_mgl,220.66666666666666
1989-01-13,BQ2,k_mgl,0.9011111111111111
1989-01-13,BQ2,mg_mgl,2.52
1989-01-13,BQ2,ca_mgl,4.592222222222222
1989-01-13,BQ2,nh4n_mgl,NA
1989-01-13,BQ2,no3n_mgl,232.8
1989-03-17,BQ2,k_mgl,0.8766666666666667
1989-03-17,BQ2,mg_mgl,2.8766666666666665
